	N1_9	N2_9	N3_9	N4_9	N5_9	N7_9	N9_9	N11_9	N13_9	N14_9	N15_9	W1_9	W3_9	W5_9	W6_9	W7_9	W10_9	W11_9	W12_9	W14_9	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1	N1_6	N2_6	N3_6	N4_6	N5_6	N7_6	N9_6	N11_6	N13_6	N14_6	N15_6	W1_6	W3_6	W5_6	W6_6	W7_6	W10_6	W11_6	W12_6	W14_6
1624	0	1	1	3	0	1	4	3	7	5	1	1	0	2	16	7	2	2	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	2	8	13	11	9	7	0	1	1	27	16	10	5	5	4
2255	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	1	1	1	4	17	6	1	5	2	12	21	44	14	40	1	0	0	0	0	1	4	0	3	0	0	0	0	1	1	4	5	15	6	5	5
5364	2	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	7	5	11	4	5	0	0	4	6	2	0	1	7	2	0	1
5784	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	9	6	5	3	6	7	0	3	15	15	110	5	15	22	21	0	0	0	1	2	2	1	7	3	0	1	0	0	1	1	2	0	0	0	1
5803	4	8	9	5	2	11	1	1	1	1	0	1	2	5	9	3	4	5	2	3	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	5	5	11	7	20	3	5	4	4	4	3	2	1	2	3	2	5
6674	4	10	14	12	5	0	1	0	6	2	1	0	1	2	0	0	0	7	5	16	1	1	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	6	14	4	3	2	2	6	6	3	8	4	1	4	2	3	3	10	1	6	16
6693	0	0	1	2	3	1	2	0	2	3	1	2	30	22	3	0	3	2	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	7	3	1	4	3	2	4	4	6	11	19	10	6	5	4	4	8	9
6955	5	70	51	208	63	28	23	29	140	211	24	14	58	541	81	42	911	340	56	48	83	142	37	45	49	63	45	16	262	23	70	65	68	414	107	24	133	241	504	324	149	186	392	406	314	363	131	98	97	155	223	48	69	266	112	88	181	229	249	219
7046	0	2	0	2	2	0	2	2	5	5	0	11	10	2	1	1	5	1	4	2	1	0	1	3	0	8	1	0	1	1	6	3	8	0	3	0	6	2	2	0	7	5	9	4	1	5	7	2	4	6	2	7	9	9	7	12	5	3	3	5
7061	0	10	2	4	13	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	18	20	38	17	54	98	36	49	7	17	7	7	9	11	0	2	7	1	7	7	1	10	23	6	5	0	0	2	0	4	0	0	1	1	0	2	2	0	0
8028	6	3	4	11	3	2	3	4	3	1	0	0	0	0	8	6	0	0	0	2	0	0	1	0	1	0	2	2	0	2	1	0	0	0	0	1	1	0	2	0	5	0	3	2	7	2	5	4	0	3	1	0	0	1	1	0	1	0	0	4
11431	7	12	48	33	15	3	10	5	11	4	9	0	2	2	38	27	4	31	15	25	1	0	1	4	0	2	3	6	1	3	2	0	0	1	0	7	0	0	0	15	6	1	0	1	6	6	12	13	6	22	16	2	1	2	6	6	10	4	6	35
13074	2	2	3	2	2	2	0	0	0	0	1	0	1	0	2	6	0	2	0	1	3	0	0	0	2	0	0	0	0	1	0	0	0	1	1	3	0	0	0	1	2	0	0	2	1	0	3	1	2	2	2	0	1	0	0	3	2	0	0	6
16733	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	4	0	0	0	1	6	3	4	0	2	1	0	0	1	0	1	0	11	8	4	5	1	0	1	0	2	2	0	0	2	1	2	1	0	0	0	0
16915	0	10	1	7	1	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	3	10	2	9	1	0	0	0	5	0	3	1	5	0	0	0	0	0	0	2	9	7	7	1	0	1	0	2	2	0	0	0	0	2	6	0	1	3	0	1
17198	0	0	1	1	4	2	2	1	2	8	3	0	3	1	3	0	6	1	1	1	0	1	0	4	0	2	4	4	20	5	4	4	4	16	9	0	1	1	19	0	0	0	0	0	5	6	2	3	1	4	5	0	0	4	4	2	1	1	4	3
17679	0	2	1	2	0	0	1	0	0	0	0	2	0	3	0	0	1	1	0	0	0	5	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	6	5	1	5	0	4	4	3	0	1	2	1	3	3	6	1	0	0
20395	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	1	0	2	0	0	0	0	1	0	3	2	5	4	27	14	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	5	0	4	2	0	0	1	1	0	0	0	0	1
20456	0	0	0	21	5	0	2	0	0	2	3	0	4	3	0	2	5	6	2	0	0	0	0	45	10	5	2	0	1	15	6	2	56	6	11	7	62	9	11	1	0	0	1	0	2	55	7	8	10	2	3	0	0	0	11	5	18	14	20	28
22466	0	5	0	3	0	0	0	1	2	0	0	0	1	0	0	0	0	0	4	1	4	0	0	8	0	1	0	0	14	0	0	7	4	0	0	1	0	1	0	3	11	9	10	2	0	0	0	3	1	0	0	0	2	0	5	6	0	0	0	2
25051	4	8	8	2	1	0	1	0	1	0	0	0	0	0	11	6	7	8	1	3	43	25	217	66	190	29	14	13	13	5	17	1	7	23	109	53	52	48	71	33	1	2	1	1	2	6	6	3	3	1	1	0	0	0	3	1	8	5	2	1
26311	12	13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	7	0	12	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	16	0	1	1	3	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0
27188	19	15	64	29	17	15	7	18	9	26	14	11	3	22	35	13	17	18	36	16	5	0	7	3	16	4	5	7	0	4	10	1	1	52	2	18	6	18	12	24	7	3	9	10	94	51	64	247	101	103	42	14	13	15	23	22	37	29	13	79
30168	1	2	6	1	1	1	0	2	0	0	0	0	1	1	2	0	4	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	7	8	6	4	6	3	0	1	1	1	2	5	2	2	4	4	2	2	0	3
36075	5	332	42	452	769	445	418	588	291	553	134	1154	971	726	142	125	411	112	497	51	2	19	28	724	93	858	1097	485	866	205	545	1800	1206	632	524	158	400	466	388	117	47	47	113	131	200	620	203	375	256	352	225	617	463	336	370	721	537	533	375	326
37583	2	1	5	3	4	5	9	9	6	13	5	1	4	3	1	1	3	2	3	2	2	1	3	13	2	18	12	11	11	11	12	3	9	5	5	1	4	0	7	7	3	4	6	4	9	6	3	8	3	6	14	4	9	3	2	5	5	7	5	7
38267	1	6	2	13	17	4	4	6	15	10	1	22	32	28	2	1	24	6	17	0	1	0	2	12	0	28	15	6	22	6	36	5	7	9	9	5	19	8	5	4	3	3	10	17	9	19	4	6	4	19	8	21	23	21	12	14	7	11	8	3
40149	3	2	4	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	14	0	3	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	2	2	3	7	2	2	1	1	3	0	0	0	0	0	1	7	2	0	0	1	0
42642	16	2	5	2	0	0	0	0	5	0	3	0	3	1	4	5	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	1	3	1	0	2	4	2	5	4	2
43052	6	0	2	7	0	0	0	0	1	0	0	0	0	2	0	1	0	2	1	1	8	4	3	1	3	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	3	0	0	1	2	0	1	0	1	0	0	0	1	0	2	1	0	1
43544	0	5	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	6	0	1	0	0	6	1	2	0	5	1	0	0	0	0	1	1	14	7	8	2	0	3	0	1	4	0	0	1	2	0	6	2	0	2	0	1
43917	0	1	1	4	3	0	2	1	0	2	0	1	3	13	2	1	2	0	0	3	0	1	0	3	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	4	1	3	7	3	1	2	3	1	2	1	4	0	3	1	1	4	0	7
44265	1	1	1	2	1	1	2	0	0	0	0	1	0	0	9	9	1	1	0	1	0	2	2	3	3	7	1	19	21	8	7	8	13	50	63	41	11	39	17	23	1	16	18	21	11	4	2	17	32	10	8	1	1	0	276	153	76	61	34	81
47365	10	3	8	1	1	0	0	0	5	0	1	0	0	0	5	2	1	0	0	0	0	0	11	2	1	1	0	0	19	0	1	1	1	1	1	1	0	0	0	1	16	0	1	3	1	4	1	1	3	1	0	2	0	0	44	24	6	1	0	2
50265	3	7	9	6	1	0	0	1	5	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	1	0	1	0	3	1	0	1	0	1	0	3	5	1	0	0	0
50466	0	0	0	0	3	2	1	1	1	1	1	0	2	0	1	2	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	4	0	14	5	5	2	5	1	1	2	1	1	1	0	0
53533	1	0	2	2	0	0	3	4	3	0	1	0	0	1	4	5	2	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	12	5	6	4	0	0	1	7	3	4	6	4	1
