"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"1624",46,8825,3.78246751063823e-05,0.321739130434783
"2255",21,15529,3.69961279812179e-05,0.4
"5364",4,159,3.68718202359483e-05,0.666666666666667
"5784",30,3228,3.69903197918643e-05,0.432183908045977
"5803",37,3745,3.77409627528708e-05,0.337837837837838
"6674",26,5374,3.7437124581745e-05,0.406153846153846
"6693",71,977,3.7717884296692e-05,0.592756539235412
"6955",24,2659,3.69676210142323e-05,0.427536231884058
"7046",22,421,3.73626050636147e-05,0.528138528138528
"7061",8,178,3.57290044383227e-05,0.75
"8028",2,0,3.61312812389315e-05,1
"11431",75,23945,3.81785035532395e-05,0.328288288288288
"13074",10,0,3.63633243869718e-05,0.955555555555556
"16733",2,0,3.44403116121328e-05,1
"16915",2,0,3.49985901309374e-05,0
"17198",6,0,3.64962439783344e-05,0.866666666666667
"17679",6,0,3.66562252794849e-05,1
"20395",6,357,3.63184802792802e-05,0.266666666666667
"20456",3,40,3.5199633534035e-05,0.333333333333333
"22466",11,2452,3.48180192391702e-05,0.290909090909091
"25051",31,8964,3.64976702030369e-05,0.296774193548387
"26311",20,0,3.62701774821882e-05,0.963157894736842
"27188",16,5877,3.74787149954966e-05,0.283333333333333
"30168",39,1825,3.73291066739688e-05,0.524966261808367
"36075",40,1285,3.741958110884e-05,0.478205128205128
"37583",23,2685,3.68294687551492e-05,0.703557312252964
"38267",34,5171,3.77907253656137e-05,0.445632798573975
"40149",8,1340,3.58108879710692e-05,0.607142857142857
"42642",4,1,3.64733056112889e-05,0.833333333333333
"43052",7,23,3.53945730198187e-05,0.761904761904762
"43544",22,7509,3.60106134790026e-05,0.142857142857143
"43917",1,0,3.53329614332509e-05,NA
"44265",34,2939,3.68745653088427e-05,0.406417112299465
"47365",7,1164,3.59567768153505e-05,0.761904761904762
"50265",12,432,3.67642823437194e-05,0.409090909090909
"50466",4,4,3.66400416901991e-05,0.666666666666667
"53533",32,1651,3.76067447675311e-05,0.350806451612903
"59851",7,1611,3.55898996843754e-05,0.333333333333333
"64384",2,0,3.45789720231302e-05,1
"70217",4,43,3.49981979610334e-05,0.666666666666667
"70346",59,19640,3.76330179401346e-05,0.325540619520748
"72607",12,641,3.68129786089953e-05,0.575757575757576
"74685",22,2950,3.73480380712315e-05,0.424242424242424
"77560",2,370,3.49730712972125e-05,0
"79085",64,2833,3.76731098427936e-05,0.619047619047619
"79659",17,797,3.69059493599366e-05,0.529411764705882
"81611",7,2254,3.70110456387299e-05,0.285714285714286
"82193",3,267,3.56286096297638e-05,0
"82365",41,3203,3.72097477488302e-05,0.498780487804878
"83643",1,0,2.07932689320419e-07,NA
"84602",50,6731,3.69674509366668e-05,0.319183673469388
"84980",7,12316,3.74465400283881e-05,0.428571428571429
"85393",6,297,3.63082716630882e-05,0.666666666666667
"89388",57,9950,3.78999759964429e-05,0.354636591478697
"89772",15,1395,3.72136174206907e-05,0.4
"92490",12,631,3.68051115899953e-05,0.424242424242424
"93726",15,3709,3.6654223829693e-05,0.419047619047619
"95621",44,5203,3.70683266932055e-05,0.486257928118393
"95883",23,3844,3.68520020822288e-05,0.367588932806324
"96894",18,5212,3.71280709725045e-05,0.372549019607843
"97153",38,13330,3.67820743388483e-05,0.258890469416785
"99309",38,4958,3.71678064494393e-05,0.386913229018492
"99400",31,530,3.74626085412518e-05,0.843010752688172
"99774",59,3087,3.69112349614906e-05,0.395675043834015
"99956",10,91,3.59531281095386e-05,0.711111111111111
"100443",24,3253,3.70729167958733e-05,0.438405797101449
"100595",192,11585,3.77855851616397e-05,0.421411431064572
"100791",32,2077,3.72809399796116e-05,0.520161290322581
"101880",6,71,3.63000417354323e-05,0.4
"101884",31,224,3.72651032467245e-05,0.72258064516129
"102192",1,0,3.56102498547891e-05,NA
"103210",166,12820,3.80583174291153e-05,0.336546184738956
"103411",15,3573,3.62201129196118e-05,0.342857142857143
"103444",43,14306,3.73450079312025e-05,0.358803986710963
"103802",42,6355,3.73599044864289e-05,0.311265969802555
"104164",2,0,3.47933700274027e-05,0
"104281",58,1490,3.76259866452155e-05,0.593466424682396
"105008",132,11961,3.80635942742053e-05,0.41498959056211
"106252",6,484,3.67443893616315e-05,0.4
"106732",73,4530,3.79613660706822e-05,0.498097412480974
"107738",199,6398,3.76697300188612e-05,0.425917466118471
"108479",1,0,3.46643968132458e-05,NA
"108491",1,0,2.0793268925457e-07,NA
"108525",28,4358,3.72862026272274e-05,0.391534391534392
"110215",89,4441,3.7680848536266e-05,0.490040858018386
"112992",35,2524,3.77615596981527e-05,0.356302521008403
"113128",36,2825,3.76546586529783e-05,0.463492063492064
"113271",105,4832,3.79185225427778e-05,0.442490842490842
"113782",5,225,3.62068220498836e-05,0.3
"114410",11,962,3.72479068384188e-05,0.436363636363636
"115161",77,11758,3.78255020767488e-05,0.367737525632262
"115374",3,0,3.64741052548478e-05,1
"119515",14,3,3.69784768864204e-05,0.923076923076923
"119723",29,1100,3.7277379186187e-05,0.470443349753695
"124653",2,0,3.59191830930998e-05,1
"127870",2,0,3.62381369169626e-05,1
"128171",1,0,3.61265498060073e-05,NA
"132814",19,733,3.74565496273014e-05,0.497076023391813
"133044",2,0,3.58451101464183e-05,1
"136015",3,0,3.57995431031007e-05,1
"136162",30,1733,3.734158596616e-05,0.377011494252874
"138056",18,41,3.68952268811146e-05,0.738562091503268
"140859",48,10863,3.7004133087013e-05,0.405141843971631
